entity_id,entity_type,n_sessions_observed,mean_login_hour,std_login_hour,adaptive_mean_login_hour,adaptive_std_login_hour,n_distinct_resources_seen,resources_seen,n_distinct_devices_seen,mean_session_duration_sec,mean_cmd_seq_len,is_cold_start_entity
user_05fb4741,user,84,9.76,3.8,10.17,4.16,26,login_endpoint|resource_005|resource_007|resource_011|resource_012|resource_014|resource_016|resource_018|resource_026|resource_028|resource_031|resource_036|resource_043|resource_053|resource_055|resource_066|resource_070|resource_073|resource_076|resource_081|resource_087|resource_093|resource_095|resource_103|resource_106|resource_115,3,245.5,3.96,0
user_1a61615c,user,179,11.07,2.59,12.43,3.6,18,login_endpoint|resource_028|resource_029|resource_035|resource_042|resource_043|resource_070|resource_072|resource_082|resource_088|resource_089|resource_091|resource_099|resource_100|resource_106|resource_108|resource_113|resource_119,2,245.9,3.85,0
user_21f0d642,user,14,6.41,5.75,6.43,6.57,13,login_endpoint|resource_010|resource_014|resource_039|resource_044|resource_065|resource_081|resource_089|resource_096|resource_098|resource_108|resource_112|resource_117,3,141.5,2.5,0
user_3880f310,user,169,10.02,5.3,12.27,6.81,15,login_endpoint|resource_018|resource_019|resource_028|resource_034|resource_041|resource_051|resource_059|resource_064|resource_083|resource_084|resource_092|resource_113|resource_114|resource_118,2,239.4,3.28,0
user_471233c5,user,127,8.79,2.47,8.16,3.16,12,login_endpoint|resource_002|resource_015|resource_053|resource_069|resource_071|resource_077|resource_088|resource_093|resource_097|resource_111|resource_114,2,253.0,3.61,0
user_48d8b851,user,97,8.68,2.3,8.74,2.55,11,login_endpoint|resource_012|resource_013|resource_014|resource_034|resource_045|resource_046|resource_049|resource_078|resource_104|resource_109,2,284.3,3.78,0
user_4c67d7fa,user,128,8.67,1.07,8.56,1.22,13,login_endpoint|resource_010|resource_018|resource_024|resource_032|resource_036|resource_055|resource_057|resource_060|resource_104|resource_111|resource_112|resource_119,2,295.9,4.05,0
user_54489d7e,user,211,11.42,1.87,12.36,2.48,15,login_endpoint|resource_006|resource_007|resource_009|resource_025|resource_038|resource_047|resource_074|resource_080|resource_081|resource_085|resource_091|resource_107|resource_111|resource_114,3,272.8,3.63,0
user_5d08b4fd,user,134,8.8,2.06,9.29,2.54,15,login_endpoint|resource_002|resource_020|resource_022|resource_025|resource_037|resource_038|resource_055|resource_063|resource_072|resource_085|resource_090|resource_092|resource_094|resource_101,3,295.3,3.82,0
user_70658c5a,user,147,8.62,1.27,8.74,1.71,12,login_endpoint|resource_007|resource_013|resource_046|resource_053|resource_055|resource_060|resource_083|resource_084|resource_087|resource_094|resource_111,2,291.2,3.91,0
user_850ca2b6,user,172,8.32,2.23,8.82,3.33,16,login_endpoint|resource_006|resource_023|resource_032|resource_033|resource_034|resource_055|resource_062|resource_065|resource_067|resource_070|resource_075|resource_076|resource_110|resource_112|resource_118,2,285.0,3.76,0
user_8726aaaf,user,116,11.65,3.7,12.54,4.42,9,login_endpoint|resource_022|resource_028|resource_052|resource_053|resource_062|resource_063|resource_111|resource_116,2,260.2,3.47,0
user_9b81f6fa,user,156,8.71,1.5,8.89,1.45,11,login_endpoint|resource_010|resource_017|resource_028|resource_031|resource_036|resource_063|resource_066|resource_070|resource_086|resource_093,2,304.8,4.03,0
user_9f48adab,user,94,8.09,3.99,7.3,4.39,16,login_endpoint|resource_001|resource_007|resource_012|resource_015|resource_018|resource_020|resource_021|resource_029|resource_047|resource_052|resource_064|resource_066|resource_081|resource_097|resource_111,2,245.4,3.3,0
user_b3163d00,user,103,10.31,1.76,10.86,1.91,14,login_endpoint|resource_001|resource_003|resource_015|resource_040|resource_042|resource_047|resource_063|resource_077|resource_104|resource_107|resource_113|resource_118|resource_119,3,265.9,3.61,0
user_d8a3b805,user,78,9.39,3.18,9.2,3.35,23,login_endpoint|resource_003|resource_009|resource_016|resource_018|resource_029|resource_030|resource_032|resource_044|resource_048|resource_050|resource_057|resource_058|resource_067|resource_071|resource_076|resource_084|resource_087|resource_094|resource_099|resource_112|resource_113|resource_116,3,267.7,3.47,0
user_df0bfbcc,user,178,10.77,1.13,10.8,1.53,21,login_endpoint|resource_009|resource_017|resource_022|resource_030|resource_034|resource_037|resource_045|resource_057|resource_061|resource_068|resource_069|resource_071|resource_085|resource_090|resource_094|resource_098|resource_099|resource_105|resource_114|resource_120,2,289.4,3.81,0
user_f4151d50,user,116,8.48,1.6,8.41,1.78,14,login_endpoint|resource_001|resource_026|resource_029|resource_036|resource_054|resource_058|resource_070|resource_076|resource_084|resource_090|resource_092|resource_104|resource_112,2,294.3,4.04,0
user_ff26c9ec,user,166,10.96,1.43,11.31,1.75,14,login_endpoint|resource_021|resource_027|resource_035|resource_046|resource_047|resource_048|resource_071|resource_082|resource_086|resource_088|resource_090|resource_107|resource_120,2,281.0,3.66,0
