session_id,entity_id,entity_type,timestamp,source_ip,geo_location,resource_accessed,auth_method,session_duration_sec,command_sequence,device_fingerprint,failed_auth_attempts,label,anomaly_type,_geo_km_per_hr
8eeae57ce435,dev_a5ce7ffe,edge_device,2026-06-01 00:00:00.000000,103.186.69.19,Frankfurt_DE,"resource_065,resource_110",certificate,326,"list,download",fw3.0-adc829,0,normal,none,
d76bb15aabe0,dev_180f6880,edge_device,2026-06-01 00:00:00.000000,218.42.86.158,Sydney_AU,resource_114,token,184,"config_change,exec,delete,upload",fw1.8-865418,0,normal,none,
5f0bcc131ce3,dev_52556f96,edge_device,2026-06-01 00:00:00.000000,46.177.0.21,Bangalore_IN,"resource_107,resource_036",token,245,"read,read,read,upload,exec",fw2.1-973cb5,0,normal,none,
8662af63584c,dev_a5ce7ffe,edge_device,2026-06-01 00:00:00.000000,156.221.230.179,Frankfurt_DE,"resource_034,resource_110,resource_065",certificate,323,"delete,config_change,delete,upload,delete",fw3.0-adc829,0,normal,none,
7798dfdbb272,dev_52556f96,edge_device,2026-06-01 00:00:00.000000,36.182.139.76,Bangalore_IN,"resource_107,resource_036",token,286,"read,config_change,download",fw2.1-973cb5,0,normal,none,
4b343d90bc01,dev_a5ce7ffe,edge_device,2026-06-01 00:00:00.000000,205.99.110.140,Frankfurt_DE,resource_110,certificate,179,"write,write,delete,upload,upload,upload",fw3.0-adc829,0,normal,none,
217e697eebb9,dev_a5ce7ffe,edge_device,2026-06-01 00:00:00.000000,201.206.100.106,Frankfurt_DE,resource_110,certificate,414,"read,upload,list",fw3.0-adc829,0,normal,none,
e38cbe9faa78,dev_a5ce7ffe,edge_device,2026-06-01 00:00:00.000000,164.133.229.49,Frankfurt_DE,"resource_034,resource_065,resource_110",certificate,388,"delete,exec,exec,exec",fw3.0-adc829,0,normal,none,
2a89b5a239f4,dev_a5ce7ffe,edge_device,2026-06-01 00:00:00.000000,84.179.134.94,Frankfurt_DE,resource_034,certificate,260,"list,config_change,upload,delete,config_change,exec",fw3.0-adc829,0,normal,none,
7716cefb10d0,dev_a5ce7ffe,edge_device,2026-06-01 00:00:00.000000,190.72.240.139,Frankfurt_DE,"resource_110,resource_034",certificate,369,"exec,read,exec",fw3.0-adc829,0,normal,none,
a5010830ca79,dev_a5ce7ffe,edge_device,2026-06-01 00:00:00.000000,115.63.122.123,Frankfurt_DE,resource_110,certificate,264,"upload,list,list,download,read",fw3.0-adc829,0,normal,none,
c6c9e27a6a3d,dev_a5ce7ffe,edge_device,2026-06-01 00:00:00.000000,144.45.157.133,Frankfurt_DE,resource_110,certificate,338,"download,exec,download,exec",fw3.0-adc829,0,normal,none,
10f89dbfa485,dev_180f6880,edge_device,2026-06-01 00:00:00.000000,21.82.6.172,Sydney_AU,resource_114,token,319,"config_change,download,config_change,read,write,delete",fw1.8-865418,0,normal,none,
a837cd861916,dev_a5ce7ffe,edge_device,2026-06-01 00:00:00.000000,118.14.172.30,Frankfurt_DE,"resource_034,resource_110,resource_065",certificate,88,"list,read,read,list,write,config_change",fw3.0-adc829,0,normal,none,
a0234a40709e,dev_180f6880,edge_device,2026-06-01 00:00:00.000000,2.158.60.253,Sydney_AU,resource_114,token,466,"exec,download,delete,config_change,upload",fw1.8-865418,0,normal,none,
b4612abd1027,dev_180f6880,edge_device,2026-06-01 00:00:00.000000,216.157.249.85,Sydney_AU,resource_114,token,110,"upload,read,write,exec,upload,list",fw1.8-865418,0,normal,none,
8d7c2c7d80d7,dev_180f6880,edge_device,2026-06-01 00:00:00.000000,37.253.59.38,Sydney_AU,resource_114,token,291,"list,exec,list,upload",fw1.8-865418,0,normal,none,
957f98045e38,dev_a5ce7ffe,edge_device,2026-06-01 00:00:00.000000,195.224.235.228,Frankfurt_DE,"resource_065,resource_110",certificate,327,"delete,download",fw3.0-adc829,0,normal,none,
3b476223dfb9,dev_a5ce7ffe,edge_device,2026-06-01 00:00:00.000000,78.180.207.180,Frankfurt_DE,"resource_065,resource_034",certificate,462,"delete,list,config_change,upload,config_change,write",fw3.0-adc829,0,normal,none,
ca2391a2b56f,dev_180f6880,edge_device,2026-06-01 00:00:00.000000,43.127.229.4,Sydney_AU,resource_114,token,334,"download,exec,upload,delete,download,download",fw1.8-865418,0,normal,none,
d525cd3e0401,dev_180f6880,edge_device,2026-06-01 00:00:00.000000,205.117.5.212,Sydney_AU,resource_114,token,280,"download,delete,upload,download,download,exec",fw1.8-865418,0,normal,none,
6618bafcdeca,dev_180f6880,edge_device,2026-06-01 00:00:00.000000,43.90.250.45,Sydney_AU,resource_114,token,228,"download,write,write,write,read,upload",fw1.8-865418,0,normal,none,
4923ca16ac80,dev_180f6880,edge_device,2026-06-01 00:00:00.000000,82.47.42.105,Sydney_AU,resource_114,token,336,"read,delete,exec,config_change,download,config_change",fw1.8-865418,0,normal,none,
de1bc212d884,dev_180f6880,edge_device,2026-06-01 00:00:00.000000,175.24.135.53,Sydney_AU,resource_114,token,180,"read,list,list,read,read,list",fw1.8-865418,0,normal,none,
a60f7565474e,dev_a5ce7ffe,edge_device,2026-06-01 00:00:00.000000,32.7.88.169,Frankfurt_DE,resource_034,certificate,253,"delete,download,list",fw3.0-adc829,0,normal,none,
592d668a838e,dev_180f6880,edge_device,2026-06-01 00:00:00.000000,51.228.167.197,Sydney_AU,resource_114,token,168,"read,write",fw1.8-865418,0,normal,none,
6979277e2743,dev_180f6880,edge_device,2026-06-01 00:00:00.000000,178.27.235.112,Sydney_AU,resource_114,token,213,"write,read,read,upload,download,write",fw1.8-865418,0,normal,none,
55da15baa78b,dev_a5ce7ffe,edge_device,2026-06-01 00:00:00.000000,111.14.213.118,Frankfurt_DE,resource_065,certificate,230,"write,write,exec,download,delete,download",fw3.0-adc829,0,normal,none,
19f077457359,dev_a5ce7ffe,edge_device,2026-06-01 00:00:00.000000,129.237.226.40,Frankfurt_DE,resource_034,certificate,456,"delete,delete",fw3.0-adc829,0,normal,none,
ca8869a11ac1,dev_a5ce7ffe,edge_device,2026-06-01 00:02:16.758131,72.233.31.63,Frankfurt_DE,"resource_110,resource_034,resource_065",certificate,242,"list,read,config_change",fw3.0-adc829,0,normal,none,
d603437c098b,dev_52556f96,edge_device,2026-06-01 00:03:57.185971,137.38.198.6,Bangalore_IN,"resource_036,resource_107",token,256,"download,upload",fw2.1-973cb5,0,normal,none,
32a8fe8b5001,dev_52556f96,edge_device,2026-06-01 00:05:17.621956,134.233.102.100,Bangalore_IN,"resource_036,resource_107",token,359,"list,list",fw2.1-973cb5,0,normal,none,
c77eed2c8837,dev_a5ce7ffe,edge_device,2026-06-01 00:08:43.469013,115.132.220.243,Frankfurt_DE,"resource_110,resource_065,resource_034",certificate,427,"download,config_change,delete",fw3.0-adc829,0,normal,none,
24883d7e938b,dev_52556f96,edge_device,2026-06-01 00:11:50.971733,193.23.216.174,Bangalore_IN,"resource_107,resource_036",token,151,"download,list",fw2.1-973cb5,0,normal,none,
810bf9ee1f54,dev_1428c6b5,edge_device,2026-06-01 00:17:55.484263,43.146.23.157,Sydney_AU,"resource_104,resource_068,resource_084",token,256,"config_change,upload,upload,download,download,write",fw1.8-52b13f,0,normal,none,
5f41d4aad678,dev_a5ce7ffe,edge_device,2026-06-01 00:18:23.565887,193.61.46.241,Frankfurt_DE,resource_034,certificate,161,"download,delete,delete,exec,read,write",fw3.0-adc829,0,normal,none,
a96fc1c44711,dev_52556f96,edge_device,2026-06-01 00:26:03.059684,117.36.248.217,Bangalore_IN,resource_107,token,535,"read,config_change,list,exec,delete",fw2.1-973cb5,0,normal,none,
4cdcee7efee2,svc_557cd228,service_account,2026-06-01 00:28:15.377760,100.219.113.120,London_UK,"resource_086,resource_083,resource_039",certificate,309,"delete,download",svc-node-413ba0,0,normal,none,
fa55a120346f,dev_a5ce7ffe,edge_device,2026-06-01 00:28:39.648973,112.94.203.140,Frankfurt_DE,"resource_065,resource_110",certificate,364,"config_change,download,list,delete",fw3.0-adc829,0,normal,none,
a7a760d55eaa,dev_a5ce7ffe,edge_device,2026-06-01 00:33:31.390272,61.108.120.93,Frankfurt_DE,resource_034,certificate,390,"exec,write,list,list,config_change,upload",fw3.0-adc829,0,normal,none,
2f3b602eb955,dev_a5ce7ffe,edge_device,2026-06-01 00:42:37.556820,127.29.119.79,Frankfurt_DE,resource_110,certificate,266,"delete,download,config_change,read,exec",fw3.0-adc829,0,normal,none,
f0c06d457889,dev_a5ce7ffe,edge_device,2026-06-01 00:45:04.429605,151.40.210.120,Frankfurt_DE,"resource_110,resource_065,resource_034",certificate,376,"exec,exec,exec",fw3.0-adc829,0,normal,none,
00f815b9a99d,dev_180f6880,edge_device,2026-06-01 00:49:48.131039,10.34.143.232,Sydney_AU,resource_114,token,442,"config_change,delete,exec",fw1.8-865418,0,normal,none,
700c616e477a,dev_52556f96,edge_device,2026-06-01 01:00:35.981691,60.137.6.6,Bangalore_IN,resource_036,token,399,"upload,list,download",fw2.1-973cb5,0,normal,none,
325c8ad1ef05,dev_a5ce7ffe,edge_device,2026-06-01 01:14:02.235862,194.254.183.242,Frankfurt_DE,resource_034,certificate,380,"list,read,read",fw3.0-adc829,0,normal,none,
8a60bc88da63,dev_52556f96,edge_device,2026-06-01 01:24:13.559968,22.112.129.3,Bangalore_IN,"resource_036,resource_107",token,217,"delete,write",fw2.1-973cb5,0,normal,none,
46cc6b2ed5fa,dev_52556f96,edge_device,2026-06-01 01:26:03.245252,137.40.133.190,Bangalore_IN,"resource_107,resource_036",token,5,"delete,delete,list,config_change,download",fw2.1-973cb5,0,normal,none,
b7eda1f1041c,dev_a5ce7ffe,edge_device,2026-06-01 01:37:45.405679,140.122.114.92,Frankfurt_DE,"resource_065,resource_034,resource_110",certificate,446,"exec,read,config_change",fw3.0-adc829,0,normal,none,
f3e49ef27b7b,dev_a5ce7ffe,edge_device,2026-06-01 01:42:19.277354,216.192.64.153,Frankfurt_DE,"resource_034,resource_065,resource_110",certificate,334,"delete,read,read",fw3.0-adc829,0,normal,none,
0d4b49784eb6,dev_52556f96,edge_device,2026-06-01 01:43:44.117019,44.77.120.121,Bangalore_IN,resource_107,token,361,"read,config_change,upload,download",fw2.1-973cb5,0,normal,none,
cdcdfed4d603,dev_a5ce7ffe,edge_device,2026-06-01 01:44:00.160248,121.225.236.17,Frankfurt_DE,"resource_065,resource_110",certificate,474,"write,download,delete,list,download,download",fw3.0-adc829,0,normal,none,
c909dfeae0c3,dev_a5ce7ffe,edge_device,2026-06-01 01:49:59.126327,18.215.85.157,Frankfurt_DE,"resource_110,resource_065,resource_034",certificate,368,"config_change,read",fw3.0-adc829,0,normal,none,
4c2d43dc6587,dev_180f6880,edge_device,2026-06-01 02:02:45.260256,113.243.235.53,Sydney_AU,resource_114,token,183,"write,list",fw1.8-865418,0,normal,none,
1967185bacca,dev_52556f96,edge_device,2026-06-01 02:05:28.104628,36.150.135.63,Bangalore_IN,resource_107,token,5,"read,exec,download,list",fw2.1-973cb5,0,normal,none,
7b9cc440cdc1,dev_52556f96,edge_device,2026-06-01 02:06:26.757869,2.8.120.7,Bangalore_IN,resource_107,token,404,"config_change,delete,download",fw2.1-973cb5,0,normal,none,
84914591a741,svc_557cd228,service_account,2026-06-01 02:18:22.009802,158.152.51.53,London_UK,resource_086,certificate,289,"write,read",svc-node-413ba0,0,normal,none,
4cdc593d0003,dev_a5ce7ffe,edge_device,2026-06-01 02:20:33.227029,7.116.89.176,Frankfurt_DE,"resource_034,resource_065,resource_110",certificate,432,"list,config_change,download,upload",fw3.0-adc829,0,normal,none,
9d76ae3f7618,dev_a5ce7ffe,edge_device,2026-06-01 02:22:47.707912,185.118.19.88,Frankfurt_DE,"resource_065,resource_110,resource_034",certificate,324,"exec,download,upload",fw3.0-adc829,0,normal,none,
2b4f3ccd9a1c,dev_52556f96,edge_device,2026-06-01 02:25:17.838078,147.196.111.237,Bangalore_IN,resource_036,token,324,"delete,delete,upload,config_change,read",fw2.1-973cb5,0,normal,none,
689875759371,dev_a5ce7ffe,edge_device,2026-06-01 02:33:10.064811,140.110.252.86,Frankfurt_DE,"resource_034,resource_065,resource_110",certificate,100,"write,exec,download,delete,upload,write",fw3.0-adc829,0,normal,none,
38980db51632,dev_09c9cb1b,edge_device,2026-06-01 02:35:49.535273,223.141.236.93,Delhi_IN,"resource_021,resource_095",certificate,302,"list,download,write,read,config_change",fw1.8-5e0b0e,0,normal,none,
93f8ca9ac2f4,dev_52556f96,edge_device,2026-06-01 02:40:42.244583,36.114.166.205,Bangalore_IN,"resource_107,resource_036",token,369,"upload,delete",fw2.1-973cb5,0,normal,none,
10e1708b25fc,dev_52556f96,edge_device,2026-06-01 02:41:02.894222,202.96.205.101,Bangalore_IN,resource_107,token,269,"upload,list,upload",fw2.1-973cb5,0,normal,none,
d07bc7111fc8,dev_52556f96,edge_device,2026-06-01 02:41:48.635281,169.177.9.21,Bangalore_IN,resource_036,token,268,"exec,write,config_change,read,download",fw2.1-973cb5,0,normal,none,
397f7879de67,dev_1428c6b5,edge_device,2026-06-01 02:46:47.232484,159.76.222.39,Sydney_AU,resource_068,token,289,"delete,write,delete,delete",fw1.8-52b13f,0,normal,none,
95e61d585e98,dev_52556f96,edge_device,2026-06-01 02:49:34.163486,201.155.203.58,Bangalore_IN,"resource_107,resource_036",token,273,"list,config_change,read,exec",fw2.1-973cb5,0,normal,none,
64eb985fb492,dev_52556f96,edge_device,2026-06-01 02:52:06.517863,189.105.105.149,Bangalore_IN,"resource_036,resource_107",token,293,"read,config_change,write,download,read,upload",fw2.1-973cb5,0,normal,none,
6dc015b11bb4,dev_a5ce7ffe,edge_device,2026-06-01 02:53:52.830976,175.206.105.103,Frankfurt_DE,resource_034,certificate,366,"list,exec,read,delete",fw3.0-adc829,0,normal,none,
ede8ebd772b3,dev_a5ce7ffe,edge_device,2026-06-01 02:56:05.954869,93.121.182.185,Frankfurt_DE,"resource_034,resource_110",certificate,374,"write,upload,write,download",fw3.0-adc829,0,normal,none,
b4c9eabbbcb0,svc_8e47b6dc,service_account,2026-06-01 03:05:09.860586,210.199.255.142,Moscow_RU,"resource_034,resource_120",certificate,54,"read,exec",svc-node-59419d,0,normal,none,
b07b19ad219b,dev_180f6880,edge_device,2026-06-01 03:09:48.890342,97.31.152.253,Sydney_AU,resource_114,token,326,"config_change,download,exec,read",fw1.8-865418,0,normal,none,
94f84404ddfc,dev_a5ce7ffe,edge_device,2026-06-01 03:11:16.046139,154.16.154.130,Frankfurt_DE,"resource_110,resource_065",certificate,248,"exec,download,read",fw3.0-adc829,0,normal,none,
f9aaf55c7ab4,dev_180f6880,edge_device,2026-06-01 03:12:36.991429,214.103.107.187,Sydney_AU,resource_114,token,359,"download,list",fw1.8-865418,0,normal,none,
068dfd67c043,dev_a5ce7ffe,edge_device,2026-06-01 03:16:54.885621,116.167.95.72,Frankfurt_DE,"resource_110,resource_034,resource_065",certificate,239,"download,config_change,upload,delete",fw3.0-adc829,0,normal,none,
45e4fcad3e1e,dev_52556f96,edge_device,2026-06-01 03:19:25.009145,161.98.194.249,Bangalore_IN,"resource_107,resource_036",token,389,"write,config_change,write,upload,config_change,list",fw2.1-973cb5,0,normal,none,
2eb7242bddc3,dev_a5ce7ffe,edge_device,2026-06-01 03:20:07.974085,167.133.131.220,Frankfurt_DE,"resource_065,resource_034,resource_110",certificate,226,"read,config_change,list,write,read",fw3.0-adc829,0,normal,none,
fd83c8ada87a,dev_a5ce7ffe,edge_device,2026-06-01 03:33:16.247140,82.36.147.173,Frankfurt_DE,"resource_110,resource_034",certificate,395,"read,exec,write,upload",fw3.0-adc829,0,normal,none,
3a0c3b9fef15,dev_a5ce7ffe,edge_device,2026-06-01 03:37:10.041453,94.251.46.56,Frankfurt_DE,"resource_110,resource_034",certificate,375,"list,upload,config_change,delete,upload",fw3.0-adc829,0,normal,none,
8bf52394b52e,dev_09c9cb1b,edge_device,2026-06-01 03:45:41.221476,141.45.180.213,Delhi_IN,resource_021,certificate,237,"delete,upload,upload",fw1.8-5e0b0e,0,normal,none,
238f000a0007,dev_a5ce7ffe,edge_device,2026-06-01 03:52:31.014394,64.178.0.193,Frankfurt_DE,"resource_065,resource_034",certificate,71,"read,config_change,delete,config_change,download,download",fw3.0-adc829,0,normal,none,
462e7b34dffb,dev_180f6880,edge_device,2026-06-01 03:56:05.348188,83.38.147.207,Sydney_AU,resource_114,token,197,"upload,upload,delete,delete,list,exec",fw1.8-865418,0,normal,none,
7e9eef82966f,svc_8e47b6dc,service_account,2026-06-01 04:01:52.797408,189.103.3.79,Moscow_RU,"resource_034,resource_027",certificate,399,"read,write,upload,download",svc-node-59419d,0,normal,none,
facb7325b46c,dev_a5ce7ffe,edge_device,2026-06-01 04:02:41.325506,213.85.68.248,Frankfurt_DE,"resource_034,resource_110,resource_065",certificate,469,"exec,upload,list,list,list,write",fw3.0-adc829,0,normal,none,
91db2b771ac7,dev_a5ce7ffe,edge_device,2026-06-01 04:04:36.330006,219.250.190.217,Frankfurt_DE,"resource_110,resource_065,resource_034",certificate,299,"read,config_change,upload",fw3.0-adc829,0,normal,none,
9c423c311d8e,dev_52556f96,edge_device,2026-06-01 04:06:05.770802,135.241.164.249,Bangalore_IN,"resource_107,resource_036",token,514,"delete,delete,list,config_change,config_change",fw2.1-973cb5,0,normal,none,
1af6fa73fe77,dev_52556f96,edge_device,2026-06-01 04:07:05.724820,57.183.12.94,Bangalore_IN,"resource_107,resource_036",token,608,"upload,list,upload,config_change",fw2.1-973cb5,0,normal,none,
975c7a678b63,dev_1428c6b5,edge_device,2026-06-01 04:10:15.605360,170.83.148.58,Sydney_AU,resource_068,token,242,"list,upload,delete",fw1.8-52b13f,0,normal,none,
c3f712a84413,dev_a5ce7ffe,edge_device,2026-06-01 04:10:49.277588,206.156.19.84,Frankfurt_DE,"resource_110,resource_034,resource_065",certificate,306,"read,list,upload,download,config_change,read",fw3.0-adc829,0,normal,none,
dda272a2341a,dev_a5ce7ffe,edge_device,2026-06-01 04:13:37.604498,97.206.192.102,Frankfurt_DE,resource_110,certificate,362,"download,list,list,upload",fw3.0-adc829,0,normal,none,
1babeafeb7be,dev_a5ce7ffe,edge_device,2026-06-01 04:19:09.775487,113.191.83.159,Frankfurt_DE,resource_065,certificate,279,"delete,exec",fw3.0-adc829,0,normal,none,
be39a0ba13b6,svc_2f8c9b0e,service_account,2026-06-01 04:22:18.239103,145.158.107.133,London_UK,resource_011,certificate,274,"exec,config_change,download,config_change,read",svc-node-6dd36b,0,normal,none,
60de57290ecb,dev_a5ce7ffe,edge_device,2026-06-01 04:25:58.381228,45.140.127.223,Frankfurt_DE,"resource_065,resource_110",certificate,490,"write,read,list,config_change,delete",fw3.0-adc829,0,normal,none,
69afd10e992d,svc_2f8c9b0e,service_account,2026-06-01 04:28:49.707817,57.229.161.40,London_UK,"resource_032,resource_011,resource_075,resource_077",certificate,352,"exec,delete,list",svc-node-6dd36b,0,normal,none,
c72d9548e499,dev_52556f96,edge_device,2026-06-01 04:31:19.582617,215.206.137.252,Bangalore_IN,resource_107,token,386,"download,delete,list",fw2.1-973cb5,0,normal,none,
1b9e56fd7349,dev_09c9cb1b,edge_device,2026-06-01 04:37:06.749201,119.209.145.36,Delhi_IN,resource_021,certificate,227,"list,read",fw1.8-5e0b0e,0,normal,none,
3b9ec35ba294,dev_a5ce7ffe,edge_device,2026-06-01 04:41:08.784938,20.191.102.74,Frankfurt_DE,"resource_034,resource_110,resource_065",certificate,234,"upload,list,exec",fw3.0-adc829,0,normal,none,
0ee1e1716f90,svc_2f8c9b0e,service_account,2026-06-01 04:42:30.530084,113.79.159.78,London_UK,"resource_006,resource_080,resource_032,resource_011",certificate,243,"delete,delete,exec,download,write",svc-node-6dd36b,0,normal,none,
70a653a92ca2,dev_a5ce7ffe,edge_device,2026-06-01 04:42:39.722217,59.59.156.12,Frankfurt_DE,resource_110,certificate,303,"write,upload,read,config_change,exec,upload",fw3.0-adc829,0,normal,none,
1be15a43ddca,dev_a5ce7ffe,edge_device,2026-06-01 04:56:07.060518,211.123.223.83,Frankfurt_DE,resource_065,certificate,468,"write,download,exec,config_change,write,read",fw3.0-adc829,0,normal,none,
22d80144402d,dev_a5ce7ffe,edge_device,2026-06-01 04:57:32.230959,143.134.161.121,Frankfurt_DE,"resource_065,resource_034,resource_110",certificate,212,"download,download",fw3.0-adc829,0,normal,none,
6541e27842c9,dev_09c9cb1b,edge_device,2026-06-01 04:58:00.685120,66.106.112.122,Delhi_IN,resource_095,certificate,175,"read,list,read,write",fw1.8-5e0b0e,0,normal,none,
1b9cda637739,dev_a5ce7ffe,edge_device,2026-06-01 04:59:31.868625,145.118.120.217,Frankfurt_DE,resource_034,certificate,361,"upload,read,config_change,config_change,download",fw3.0-adc829,0,normal,none,
894b6574ed87,dev_a5ce7ffe,edge_device,2026-06-01 05:05:44.388136,45.241.186.18,Frankfurt_DE,"resource_110,resource_065",certificate,85,"upload,list,write",fw3.0-adc829,0,normal,none,
b7a6abac01e1,dev_ab5f9888,edge_device,2026-06-01 05:06:52.365286,37.237.201.226,Frankfurt_DE,resource_048,certificate,240,"read,download",fw2.1-0f40d7,0,normal,none,
5f6727cbb908,dev_a5ce7ffe,edge_device,2026-06-01 05:07:08.013769,35.21.82.9,Frankfurt_DE,"resource_034,resource_065,resource_110",certificate,307,"upload,exec,list,delete,list,delete",fw3.0-adc829,0,normal,none,
0b4b40ebe6fc,dev_52556f96,edge_device,2026-06-01 05:11:19.624877,162.150.58.96,Bangalore_IN,resource_036,token,249,"write,upload,write,delete,list",fw2.1-973cb5,0,normal,none,
3b433d427ee6,svc_557cd228,service_account,2026-06-01 05:12:26.500603,68.212.68.118,London_UK,"resource_086,resource_039",certificate,258,"list,upload,download,write,delete,config_change",svc-node-413ba0,0,normal,none,
c2089d2d6c7d,dev_180f6880,edge_device,2026-06-01 05:22:57.295304,131.124.146.97,Sydney_AU,resource_114,token,184,"write,write",fw1.8-865418,0,normal,none,
10493304caaf,dev_52556f96,edge_device,2026-06-01 05:25:00.378768,57.3.133.153,Bangalore_IN,"resource_036,resource_107",token,89,"read,read,download,exec,config_change",fw2.1-973cb5,0,normal,none,
6ff4b652cebd,dev_1428c6b5,edge_device,2026-06-01 05:27:03.904970,95.214.150.163,Sydney_AU,"resource_068,resource_084",token,353,"write,write,write",fw1.8-52b13f,0,normal,none,
0c87d9aa23b9,dev_a5ce7ffe,edge_device,2026-06-01 05:32:02.104702,216.66.37.169,Frankfurt_DE,"resource_110,resource_065",certificate,263,"upload,delete,download,download,exec,write",fw3.0-adc829,0,normal,none,
85440e5f2c1f,dev_09c9cb1b,edge_device,2026-06-01 05:36:17.086767,193.52.41.201,Delhi_IN,resource_021,certificate,251,"write,download,read,config_change",fw1.8-5e0b0e,0,normal,none,
f3f188ba7b63,dev_a5ce7ffe,edge_device,2026-06-01 05:38:58.740449,18.83.10.134,Frankfurt_DE,"resource_065,resource_034,resource_110",certificate,404,"read,config_change,read",fw3.0-adc829,0,normal,none,
bf62129eb150,dev_52556f96,edge_device,2026-06-01 05:44:48.712879,193.87.171.142,Bangalore_IN,resource_107,token,360,"download,read,download",fw2.1-973cb5,0,normal,none,
6ba862d6e6c1,dev_a5ce7ffe,edge_device,2026-06-01 05:46:28.433045,72.33.154.60,Frankfurt_DE,"resource_034,resource_065,resource_110",certificate,137,"download,upload,write,delete,config_change",fw3.0-adc829,0,normal,none,
