session_id,seq_risk_score,has_sequence_score
57ee3d4f5ab0,5.9123664e-07,1
ee897f28a83b,7.2577706e-07,1
040f7457f566,7.9448955e-07,1
41e302ddab9b,1.0818949e-06,1
0704dbe215da,1.0008158e-06,1
124dce25133a,4.6500514e-07,1
d818ff6dd04d,4.4981869e-07,1
bab0390381f7,4.7248443e-07,1
701c4fd7c9dc,3.4523455e-07,1
968bad646a6b,5.1008334e-07,1
47aa04523260,1.2701925e-06,1
7a18e5a9962a,1.0340336e-06,1
af3178cde839,9.609176e-07,1
2cdd198cfb99,8.2652576e-07,1
cf4f80ebde98,5.404e-07,1
2dfbeddf972e,4.07365e-07,1
85231dedc456,4.1082743e-07,1
d650f0373623,2.8034222e-07,1
12c633518d96,6.585623e-07,1
dad8e427fcb7,5.7939576e-07,1
47aee6d6b368,2.9998102e-07,1
a7cc76659af0,3.4514704e-07,1
51cb859538b0,3.6071114e-07,1
fd30e5421690,6.1977516e-07,1
cc165289bbd4,6.1784124e-07,1
47c926682565,7.2212947e-07,1
8268b21b25a7,6.6577917e-07,1
58e49ca5d92a,7.893255e-07,1
6bb7fcd4b8b4,4.821082e-07,1
d3b7ba90e984,6.225438e-07,1
246e5157d542,7.595321e-07,1
cc3285765200,5.668128e-07,1
93dca5c647e3,6.8120687e-07,1
642562eb57bf,7.858404e-07,1
1de6f4cd2e44,5.822838e-07,1
283cf432e3f3,7.1567285e-07,1
f178efea1f06,4.7762126e-07,1
ece3fd607868,5.4316394e-07,1
ee874ad0987c,5.0773417e-07,1
1445ceaab836,5.36055e-07,1
8fa7e39b258e,5.4538145e-07,1
96eeb29c3a07,5.929531e-07,1
9ae5bd836f01,5.342228e-07,1
a01d10319e55,2.6885698e-07,1
0d5f4f192459,4.826182e-07,1
09b56a11d1a0,6.034686e-07,1
d6043bb663d3,7.657589e-07,1
d39b8e6d60db,6.752909e-07,1
5138f20d9125,5.7738924e-07,1
1526f7aa7117,5.6851604e-07,1
0d3abec7368b,4.5516393e-07,1
2f6abe48fafe,4.0716915e-07,1
5745f6735031,4.6120388e-07,1
7fd885f1f759,4.5734885e-07,1
fa6b756a1ad4,8.0487774e-07,1
74310d4a1a11,6.310741e-07,1
cdf19fb4b142,7.5187717e-07,1
d102b744608d,9.197236e-07,1
2ed37278229e,8.669785e-07,1
e5103d39fef6,1.0845757e-06,1
3f353d0b7602,1.6465508e-06,1
ba76935c3065,1.615236e-06,1
16f06b0bb739,1.7165236e-06,1
9f08f30bbf19,1.1588219e-06,1
789a3e8fb054,8.931639e-07,1
88e99a242d60,1.1269915e-06,1
e1b712475ca2,7.4322224e-07,1
2c17c2696cdc,3.7911227e-07,1
4cebbeb4a669,6.4538017e-07,1
29a983552c67,5.716739e-07,1
155dd82fd9b0,8.651296e-07,1
b0e775bd1f95,9.988518e-07,1
01180b25e196,9.029565e-07,1
24e300c1f9b4,8.2969046e-07,1
0111a83c48d6,8.1930045e-07,1
40a5c0ac28f2,8.2642583e-07,1
6ba9c5f85c1f,7.963681e-07,1
4fa8fec46eab,8.6197844e-07,1
c3a75f3f5160,7.4351885e-07,1
ff13b4221c3f,4.7649073e-07,1
2d18a8e34a02,5.3444677e-07,1
4f5e7a4649d4,3.4915354e-07,1
cd2da037d2b9,4.95943e-07,1
5cc0ee707d71,7.99214e-07,1
3970b211b915,1.0246786e-06,1
c308b7a684a3,1.134265e-06,1
ff838971dd7e,9.2677703e-07,1
42bb56a872a8,8.649953e-07,1
10115d44f20f,5.8670616e-07,1
967bdfd5281a,4.907833e-07,1
5c98fb513684,6.695531e-07,1
8eb32d9ba175,6.0546904e-07,1
c1df9cc04686,5.474435e-07,1
c710acbccf70,3.8696143e-07,1
f91dcdce7789,5.3826267e-07,1
a5e99d8b2ef7,5.536622e-07,1
59ce1742e753,4.6987316e-07,1
6663d6796ba4,4.9923176e-07,1
b766512ecb9e,3.6561642e-07,1
a363adce1e27,5.245664e-07,1
e2459a3192fb,1.546682e-07,1
38be97d3e036,2.1101295e-07,1
60e3d3205e59,3.3069819e-07,1
93c909d378e6,5.682257e-07,1
4602158d8f1a,5.110766e-07,1
30a791112cba,4.810383e-07,1
13cc1bfcfee4,4.6605274e-07,1
775e0841c39a,3.0872374e-07,1
2763b80515f1,4.4131716e-07,1
c2b475ee9cf4,6.120008e-07,1
94383f4bc95d,7.1713276e-07,1
4a73eb27f241,9.3991457e-07,1
d91bc20ce13a,9.0489874e-07,1
b73916711fca,8.8028355e-07,1
93f5df22f31b,1.063098e-06,1
365a147dc842,9.724682e-07,1
836733a3f702,8.975215e-07,1
c2631005a401,8.8968557e-07,1
9c1e5d3a0ed4,4.598941e-07,1
7f593178e55b,4.883514e-07,1
4caa3a583bdc,3.857408e-07,1
c66940dc9d7c,3.5494347e-07,1
5ead2db38df8,4.6811596e-07,1
a02ff8de5a39,3.4316176e-07,1
5bb18262ffa0,3.5055396e-07,1
6c81a0e76878,2.9029613e-07,1
a5f601750b43,6.198329e-07,1
c7a6e8fb091f,4.5612995e-07,1
8a063d7ce2ca,7.6893247e-07,1
0545b0d10188,8.523951e-07,1
8d731bb78295,5.034373e-07,1
f8ee76a61231,6.4918623e-07,1
09d812e4d669,8.284098e-07,1
b173087f4a44,7.352642e-07,1
511375fb301a,6.3933726e-07,1
99b009c3d2b7,8.2711455e-07,1
3c9bc795a342,5.9309116e-07,1
2fb0e3457528,7.7282635e-07,1
51278d048ae3,6.9796994e-07,1
360bc590b37d,7.0948624e-07,1
c1adadcb1b1d,5.8442373e-07,1
9e274fd021ec,3.6820163e-07,1
65a85d26d80a,4.1607456e-07,1
d5610761b507,5.6857715e-07,1
6bf9a1e799a4,5.616313e-07,1
c7a92e90c5c5,5.3646454e-07,1
5508c0d7856f,5.6827935e-07,1
7a7d91632272,6.304244e-07,1
e5ba58fd6c3d,6.834874e-07,1
5d14c9deb412,8.281826e-07,1
ea432da1ac18,8.773022e-07,1
991daa42ee66,1.0160612e-06,1
3346cd5a4001,1.2611147e-06,1
bbc90bc1eabe,1.139995e-06,1
b2cb9f8d24b5,7.6016323e-07,1
bac8a571c00b,6.9879667e-07,1
c9365d50827b,4.635012e-07,1
7c200eb31f1c,6.875641e-07,1
2dc9a88e94ce,7.292601e-07,1
e16888404a86,1.0492494e-06,1
61339ccc3a02,7.4575684e-07,1
4f98828d3c6c,6.5870205e-07,1
a1170628e700,1.227095e-06,1
c1971cb33544,1.2304758e-06,1
d1f72587ae6d,9.820253e-07,1
dd2171943d55,7.635139e-07,1
31562dce4242,6.202411e-07,1
04d7546dabd7,4.638887e-07,1
871ec3eb2215,4.790985e-07,1
1d8aab38308f,3.661159e-07,1
4fab4594ba71,4.3543702e-07,1
69608b2de939,4.643058e-07,1
de33bb32cc89,4.6041214e-07,1
f6d7dd015298,4.1997313e-07,1
8747de76abeb,5.5013305e-07,1
0633fc907ce8,4.895059e-07,1
d5cfada068a5,4.7546874e-07,1
7da8022e40c3,9.908919e-07,1
12d8afb6dcbf,6.9058655e-07,1
23f3144ad6a0,8.4423806e-07,1
482e037f9262,7.043133e-07,1
22972d2f7925,4.5808414e-07,1
84aea97bd96f,7.430308e-07,1
b50efa7d4667,5.663217e-07,1
545e4c9e3b9b,7.133411e-07,1
4aa102dd799c,7.4578344e-07,1
4b0ad4261ec0,7.0133575e-07,1
34e841b02aec,7.4362003e-07,1
b02502690aec,6.4831795e-07,1
08095c39501e,7.860542e-07,1
0606f4516062,7.7913325e-07,1
26f244c55834,9.536978e-07,1
0c5319a9b6ec,8.13397e-07,1
e5017de69208,7.303387e-07,1
6a8b03880bd7,6.584335e-07,1
b01f8eaee51c,6.628818e-07,1
8ad12f32a58f,7.455659e-07,1
a7c206868a68,5.1031225e-07,1
ba0580490bbd,2.8940104e-07,1
96ca8c75a608,2.6047724e-07,1
be6e8a71c116,3.934874e-07,1
a860dadaaad3,3.4943042e-07,1
5d2f5ab71681,4.911017e-07,1
941dbe2b8005,3.0478395e-07,1
62d31be851e2,3.4330014e-07,1
54ce3a0969cd,3.653737e-07,1
0c3df35239f0,3.518706e-07,1
cfd093fa4b52,2.8325834e-07,1
122986f923a1,1.6913305e-07,1
8d8e5b9fdde4,4.3180353e-07,1
a60ad1cf0de4,2.8729426e-07,1
d8bd47dc04e9,2.431431e-07,1
969a0629cf70,3.2849906e-07,1
76a7f78eca5d,4.555306e-07,1
afdafd6fb8b5,4.962872e-07,1
0e9fc5b9eb5d,5.906484e-07,1
bf3417e3dec4,8.899723e-07,1
a684b70b5c3b,8.5691573e-07,1
ce171f87a768,8.7878004e-07,1
d8ad5f692fad,7.6424885e-07,1
7014f054f5bb,4.9031013e-07,1
c49b5eb41b3d,5.874343e-07,1
3c8c34604cad,1.589026e-07,1
b346f89be2c4,1.4028251e-07,1
29ee5bfd6173,1.7590033e-07,1
47b517835815,2.1181324e-07,1
81d246d08dc8,6.701624e-07,1
84f6083c45bf,6.974416e-07,1
533fcbf2133b,6.6125034e-07,1
6f6cb6cd71e5,5.372884e-07,1
857a4fb9a82b,3.933787e-07,1
c20dff02a8b3,4.2638754e-07,1
7f9e66bc29a8,3.758795e-07,1
6d084f8eb8aa,6.207579e-07,1
b21fa658d99f,4.4453475e-07,1
82a5ae351c8a,5.5575396e-07,1
07be23aac572,6.222541e-07,1
cb9b32534441,7.384574e-07,1
218be24553d7,4.5835924e-07,1
73a425d7db09,2.0644788e-07,1
2ce4192af26a,4.8888205e-07,1
daac89a2e572,1.4556655e-07,1
ab5e2810ddda,1.9361002e-07,1
9bb6ea635905,2.8240208e-07,1
3cddad2b9ce1,2.6842093e-07,1
af3df850609e,1.006069e-06,1
c3fa4c6593ca,1.073724e-06,1
21b8fc2b551f,1.3433907e-06,1
549480ebdfd4,1.230783e-06,1
cdd760264a25,1.1678492e-06,1
c66279523354,1.0956076e-06,1
f7a3eacd914e,9.489823e-07,1
3ab52beab8c2,5.5544047e-07,1
007d90ed177b,5.49691e-07,1
ffb8ce653c8c,4.649549e-07,1
d4e65b3d2200,3.08113e-07,1
e937bdba0bc5,1.9793832e-07,1
098aef0d6765,5.9794206e-07,1
54bd089dc059,7.6547565e-07,1
47200860b4b9,7.8324666e-07,1
de51064a476f,8.736107e-07,1
b391fb75544b,8.9259737e-07,1
2de4ff581342,6.8456364e-07,1
11b08bbf79e9,4.7340902e-07,1
3eff9e752248,3.0101228e-07,1
023495f6bdf9,2.6426744e-07,1
0f14594765cd,3.012432e-07,1
907a8951592a,3.33004e-07,1
071603d842d0,4.178497e-07,1
89547c25fa80,5.282172e-07,1
8eb831e14037,5.44488e-07,1
342bf31754fe,3.953817e-07,1
84c6ee33f78c,1.9878804e-07,1
687b744e780c,3.4457952e-07,1
c5cd09eb23a0,2.9645642e-07,1
4640788b2df8,2.5094772e-07,1
87527119cda7,6.0194475e-07,1
4913364d683e,6.724725e-07,1
3d36c82db7d4,5.63542e-07,1
90c86e750951,7.040342e-07,1
5fe63032ecd6,5.409838e-07,1
4d6ca66bbdb8,6.945877e-07,1
195cb34de3a0,6.9931633e-07,1
c4c6fbdb40f4,4.66627e-07,1
4f54db669e82,2.2364144e-07,1
018ad79a5dea,1.8175949e-07,1
da00726a8657,8.264155e-08,1
41d818718c1d,8.770669e-08,1
e6fdef50e792,2.0255341e-07,1
82211ea72004,3.0213315e-07,1
c2941ea5aeb6,3.5936336e-07,1
9fd83785985f,5.9497387e-07,1
a7d5791cf3c5,8.106049e-07,1
4a4c34632137,9.35304e-07,1
d5fbf6513c4b,8.311927e-07,1
59505b7d74ed,7.89984e-07,1
3b9a6fa31db4,9.28613e-07,1
32de9ce7b1c6,7.5812824e-07,1
1859bc27529f,7.0170535e-07,1
6ac586bd9c47,7.1088664e-07,1
24e147db00f0,5.2547716e-07,1
dfb9597e0c1b,6.330535e-07,1
37bbf337b2e5,6.0448036e-07,1
19693509faf5,2.8397508e-07,1
0313f2b6c3e5,3.3391726e-07,1
e2c2c49882b0,3.2021197e-07,1
3ae7564bd8d9,4.321624e-07,1
2977b0700a08,3.6014953e-07,1
228c74d6b585,9.0426937e-07,1
cd1b3f2f70c6,8.804267e-07,1
77db0baa673b,8.5524664e-07,1
cce8e1a812b9,6.9055255e-07,1
89cb07e3c60d,2.899672e-07,1
80c308b34b2b,4.6295298e-07,1
dd5b956f16c7,5.3666724e-07,1
2ea0d4a3b337,5.491345e-07,1
e783db424463,7.529905e-07,1
50965573b77a,5.1263555e-07,1
33726d8da320,5.29948e-07,1
b5c3601e6e2a,6.9567744e-07,1
08da57f977f0,1.1358827e-06,1
0b6cf627fcc2,8.0673607e-07,1
5c59ccfbeec8,2.1278026e-06,1
64b1e78e21ca,2.1488295e-06,1
bcab16286ece,1.6853587e-06,1
16c419739760,1.4824308e-06,1
5ff04a903768,1.4657217e-06,1
4dc21c5b5a2f,7.6584524e-07,1
c8f29f810dc7,7.5002293e-07,1
93f00f8f3f04,9.012562e-07,1
0f6027a3ab17,6.9353564e-07,1
ebcb0b1b5632,7.8235104e-07,1
859774fcd1e0,7.3951253e-07,1
9be85b73df5c,5.415503e-07,1
cb01af8c6c2c,4.6491485e-07,1
75789b867aa8,3.0058214e-07,1
0692a288b211,2.7116442e-07,1
bd0ea8b56cb7,3.6996028e-07,1
b05109caa994,7.3275055e-07,1
5a924a0cbf17,5.4306213e-07,1
a091ab01fb87,8.2896486e-07,1
c2f876383d95,6.501395e-07,1
4606f783cff7,6.575921e-07,1
7b84e63e826c,5.983082e-07,1
048fb6bc2a80,4.867116e-07,1
50075741ab8a,8.096155e-07,1
c3477979c69e,8.139369e-07,1
77ac6a9a7686,1.1633532e-06,1
359c4c7a1940,1.3851813e-06,1
5181f6436da6,1.451335e-06,1
81f09cb3a3fe,1.3280909e-06,1
3860596201f1,1.1866593e-06,1
be8f2a14da24,6.4226566e-07,1
b6a94f1e1881,3.2193626e-07,1
77c7a719ea97,3.009339e-07,1
b255db5e36cb,3.3558564e-07,1
df359db58c22,3.65371e-07,1
647cc18e45ee,4.7649942e-07,1
1bb9060de9dd,3.2416463e-07,1
b88520330cd5,3.3820504e-07,1
16f391ffa673,3.5708405e-07,1
81686b8c74e9,3.7850543e-07,1
007af6ccb161,4.1112344e-07,1
b5531aefeb99,6.353696e-07,1
a4e1586c7af5,9.955629e-07,1
8a5ba5daf97d,6.9559155e-07,1
136f77b4a3b7,9.118754e-07,1
ee551a321a71,5.3287886e-07,1
669d14fd758c,9.065528e-07,1
a1ae1ebfd475,6.9372976e-07,1
28bc2ca79e78,7.269126e-07,1
b7d9afab0916,8.1052053e-07,1
ab2c00751426,7.198821e-07,1
a60e9fc82faa,4.0211404e-07,1
e615eaae3c01,2.9784553e-07,1
11b0e3f776ee,4.3015697e-07,1
bc6a6e774145,6.786571e-07,1
df122b2a7c3d,6.8052935e-07,1
c2a7f292a5aa,7.5658244e-07,1
e44ff6786fa3,7.452186e-07,1
1d5be25e99f1,4.4670756e-07,1
9aaf67e5d0d6,5.963044e-07,1
0da7b593b9fd,6.20797e-07,1
8059d3f0f700,4.4404192e-07,1
f8933373f84c,5.0454577e-07,1
c484b3f0a466,6.8640423e-07,1
760bcab10635,6.589102e-07,1
5ffc95e57dab,1.3255105e-06,1
33fe103f5225,1.0490957e-06,1
072256b92fd6,1.1670029e-06,1
a53064e37aa4,8.261944e-07,1
90ec761f88ad,5.2432307e-07,1
ea3caf991ef9,6.7600536e-07,1
6c10c73149f2,3.9246007e-07,1
75c76865a0f1,3.8742996e-07,1
b0de137633f6,3.595326e-07,1
8bf01bc22746,3.4594848e-07,1
13999b828873,2.745256e-07,1
09eebff82ffe,2.8179818e-07,1
bcf8d4da2a95,5.6052085e-07,1
6fbb3a82174c,6.13819e-07,1
ecd9b50e0424,1.504602e-06,1
eef79d3278a7,1.6945328e-06,1
7b312a892c51,1.5488533e-06,1
a974c6a0a29b,9.945034e-07,1
8642fea9110b,8.8237647e-07,1
bd5870887822,8.1431574e-07,1
515a119f08a3,8.5124424e-07,1
4175e0dac6b3,5.0876474e-07,1
06a4990642b8,4.964459e-07,1
7d7d71449b35,2.7666866e-07,1
116f98058206,3.7089626e-07,1
c3b14a0058fe,3.511225e-07,1
c2ec32503506,6.3166414e-07,1
ffc87d37c503,7.014256e-07,1
a96f6f944cc5,5.2782843e-07,1
6cbebead33e5,5.0274406e-07,1
e69d8dd220e5,3.176187e-07,1
018a207a5131,4.6497766e-07,1
5d25e8b6ad10,3.407273e-07,1
b645e7a6ed91,3.6801052e-07,1
dd232b070b35,3.8841225e-07,1
7773d3198171,2.8867677e-07,1
05aa7e81d1d4,3.7202412e-07,1
92fff08083b0,3.747569e-07,1
646cf7f623a9,7.221687e-07,1
1398c2aec434,3.9451893e-07,1
526e1914ac03,5.6420214e-07,1
0eb63b8ad737,5.88052e-07,1
f2bedc522f69,3.5643308e-07,1
1234380502d9,2.3533066e-07,1
d5a5bc21c114,2.3546123e-07,1
a82fc59d6461,4.5323807e-07,1
7ce1022185e8,2.6593762e-07,1
6e5c87ce27ca,3.263668e-07,1
c0ba0617c202,4.6169066e-07,1
7fdffe1c1124,3.620437e-07,1
67fc598da5de,6.4393834e-07,1
2e9ef5e64dd9,5.450297e-07,1
5b68072e1af5,1.1318066e-06,1
6990a6ca5698,9.291024e-07,1
950dd7b1643e,7.917477e-07,1
4f56fb3a2597,9.880081e-07,1
7adaeb8023aa,8.1008864e-07,1
994cf3887a2c,9.3612454e-07,1
b2d668124eed,4.7351645e-07,1
2bfc9d22dafb,4.6065986e-07,1
67f775f44bcd,2.4931202e-07,1
26b5ef0375a0,3.9496908e-07,1
5af3ff69af6b,5.650031e-07,1
69075486d310,5.217659e-07,1
4045f7cc2a8b,6.118189e-07,1
0145b6cf0217,6.2779355e-07,1
d6fd8a287638,6.666747e-07,1
5390e782804e,6.5277914e-07,1
4b4eabb79975,3.9059347e-07,1
120f5f6d0c34,4.848806e-07,1
c57771299e5c,3.0199283e-07,1
974787d60d10,3.0067545e-07,1
850632c490f6,4.0851407e-07,1
9fba53c5c77d,4.9751117e-07,1
a41943eb0689,4.7784124e-07,1
a273cec2fb79,6.496687e-07,1
749aecdc2283,9.13993e-07,1
7b66e45d6b41,8.2250085e-07,1
a9c41abf21b9,9.154509e-07,1
23b60188d5ae,6.021848e-07,1
4ccff8dc6124,3.8832704e-07,1
375158e41779,5.5546036e-07,1
87b0ecfabd3a,4.110716e-07,1
5ea39f163581,2.800743e-07,1
ca3534f3b08a,3.6558038e-07,1
51a85976f007,4.392365e-07,1
feb1dc9a7ddc,4.9596775e-07,1
297395677539,9.685936e-07,1
167a9292ac31,8.7713704e-07,1
4a9f116fc90c,7.822282e-07,1
71fce695a283,1.2116475e-06,1
8c3063827fba,8.741794e-07,1
5450e89dc9b7,1.2820537e-06,1
9c5af98d5689,1.2697877e-06,1
6e7e41f6b4de,1.182646e-06,1
a998287feac0,1.0157632e-06,1
8ae8e78a71a6,8.5672235e-07,1
f664d577bbb0,5.1063057e-07,1
512d428e89f7,4.8566625e-07,1
15d86854d462,5.327368e-07,1
ea88b5bef2aa,8.680365e-07,1
9c09ec0cb50c,8.649143e-07,1
0125b1405b46,8.7139415e-07,1
295ce5b9f5dd,5.018026e-07,1
aa480fe0c58b,3.0763508e-07,1
35c7b4217ef2,2.9349988e-07,1
cbeb2d0bef8e,4.5315358e-07,1
5988667c7bf9,4.9674105e-07,1
3835fc033935,5.305941e-07,1
ccfe7f72fd63,5.828181e-07,1
6aad611e20b9,4.9519446e-07,1
a19dbd6c0e5e,2.792126e-07,1
ceae48413529,2.839574e-07,1
ec7107012e83,3.002455e-07,1
1dd9036769f8,6.771115e-07,1
acc3a46378f2,7.505142e-07,1
a25d33470ad6,1.0257171e-06,1
64569465c95a,6.396711e-07,1
a2e17249e857,7.50455e-07,1
11a67e51f41d,6.623392e-07,1
d68f0a913105,3.7281967e-07,1
2043f7d0b680,4.4739878e-07,1
494037ee424a,5.672603e-07,1
0a4b6801374c,4.381279e-07,1
40c45ff13faf,4.834603e-07,1
8c56404ceff4,3.4572884e-07,1
b138172be54a,5.42621e-07,1
e85279a80404,2.563303e-07,1
f88f74e29da9,5.635633e-07,1
41d1c9c25f9e,4.1004196e-07,1
b64059d6e10d,9.4475666e-07,1
537c94deed1d,7.6044023e-07,1
f975b760999c,6.965848e-07,1
dad9441086f9,6.364483e-07,1
e5f4d147939f,5.159338e-07,1
e2d1f4887d99,5.2092406e-07,1
68afe3e138cf,8.483744e-07,1
457c1404927b,1.0802203e-06,1
8c9338e1093b,7.298386e-07,1
79f81f40e5e5,7.2599425e-07,1
a1e771fcd5b3,6.4092455e-07,1
481b627ba53f,4.861341e-07,1
dcebaeb02d97,5.5349193e-07,1
2023d9d0d759,2.5731757e-07,1
8fa81fd55631,2.1999027e-07,1
5a823cdd732c,2.9590825e-07,1
d9eb02a34fae,3.6827768e-07,1
6e61d35f07a1,3.947158e-07,1
2ca5ef8e225f,4.1818552e-07,1
cfee5cd1f07b,6.8664656e-07,1
bbe2bd9399f7,6.8576475e-07,1
c0f6591e6233,5.606879e-07,1
1029a9cd3dcc,6.66503e-07,1
8aea6bd47278,7.850625e-07,1
8a8e50f83b56,7.365782e-07,1
191fa278efe9,7.828423e-07,1
7070d5dd1771,5.5833954e-07,1
34587a7125d7,4.961084e-07,1
812f0145f253,2.6872758e-07,1
def1e1734750,2.8578773e-07,1
0ec1d55b4651,3.1478018e-07,1
af1b1074942b,4.4789755e-07,1
237501f8cd80,8.524051e-07,1
d8d6da3e4050,5.454202e-07,1
29cbd46701b0,3.8288937e-07,1
9dc5b81a5520,6.271716e-07,1
39d791ef9064,3.0748953e-07,1
3b5f1af3949c,4.7144124e-07,1
842f898a3396,7.2719774e-07,1
cdb1bade8b07,6.1207385e-07,1
46ceca3138b9,6.2689463e-07,1
4803caab8de9,6.1917723e-07,1
68109b182a01,7.4360645e-07,1
9ac850fd9cb2,8.1745037e-07,1
508bde50e726,1.5444929e-06,1
7e1b32e45579,1.2679219e-06,1
4a8a85cfe374,1.3598819e-06,1
fe4afb5014ec,1.243782e-06,1
44eaf6c84cc5,1.2892899e-06,1
c99fd77078a8,1.158402e-06,1
62b7b67382d9,7.0276633e-07,1
64530f16fa92,5.9127177e-07,1
e2d4e4ab31d4,4.1010577e-07,1
66d4c985d8d4,2.9715432e-07,1
a4a36b19b5a7,4.1041105e-07,1
170c98179f3f,5.5114896e-07,1
b7e2df52a1fa,5.7879754e-07,1
8d7a9f9f2220,4.6447596e-07,1
dd8f154a1613,5.217001e-07,1
a95a24087816,7.4194423e-07,1
1467f87ddc6e,7.6342525e-07,1
d8acb1aacb4f,6.0064673e-07,1
5f974f81ba56,5.0691705e-07,1
dee9ad04f2bb,6.3684763e-07,1
0fab93633feb,4.332661e-07,1
41591653e9cd,4.87136e-07,1
bb2d05fd549e,2.819937e-07,1
53524eb9d3c1,4.0985017e-07,1
fc748ff7408a,4.0591553e-07,1
afa96a628a3b,3.2231654e-07,1
d045ecf222df,7.86967e-07,1
ef18631172e2,8.1761306e-07,1
94470fb0958a,8.1091855e-07,1
3068563880dd,9.197418e-07,1
0a894068e6cd,2.2191921e-07,1
63da6ec1fdc2,3.1237778e-07,1
18bcbe4b04a7,5.128633e-07,1
57c322627464,3.4485177e-07,1
4eb8fa2936e0,4.4242645e-07,1
a05332c0ecaf,5.907734e-07,1
325eb207f841,6.0731895e-07,1
c7dabfb1326e,6.091563e-07,1
f95994c5c70c,6.115451e-07,1
9f22c6c36abe,5.064423e-07,1
cc60e561c21b,5.697027e-07,1
af61e727a608,3.2715062e-07,1
e35e57687f74,4.5914172e-07,1
3f313706119f,3.33402e-07,1
01bda8c20e3a,3.6808615e-07,1
111d53ed17f0,5.0045463e-07,1
23be465842a6,2.9351727e-07,1
f4c2515671aa,2.2756014e-07,1
1ce7cbdaca29,7.6190304e-07,1
65bcb2d1ab1b,9.957416e-07,1
e3676a99fb42,1.1419946e-06,1
06f612bb4043,1.0856396e-06,1
36a2344deea9,9.799858e-07,1
b947dbadb341,1.010194e-06,1
3fbee424d133,1.1074588e-06,1
430f9e2f617c,1.0859276e-06,1
032da8ffda2a,6.438581e-07,1
63cc038721d7,8.664659e-07,1
a3c39c251329,2.7977651e-07,1
